frame,abb_xmin,abb_ymin,abb_xmax,abb_ymax,bbb_xmin,bbb_ymin,bbb_xmax,bbb_ymax,a_nose_x,a_nose_y,a_nose_confidence,a_left_eye_x,a_left_eye_y,a_left_eye_confidence,a_right_eye_x,a_right_eye_y,a_right_eye_confidence,a_left_ear_x,a_left_ear_y,a_left_ear_confidence,a_right_ear_x,a_right_ear_y,a_right_ear_confidence,a_left_shoulder_x,a_left_shoulder_y,a_left_shoulder_confidence,a_right_shoulder_x,a_right_shoulder_y,a_right_shoulder_confidence,a_left_elbow_x,a_left_elbow_y,a_left_elbow_confidence,a_right_elbow_x,a_right_elbow_y,a_right_elbow_confidence,a_left_wrist_x,a_left_wrist_y,a_left_wrist_confidence,a_right_wrist_x,a_right_wrist_y,a_right_wrist_confidence,a_left_hip_x,a_left_hip_y,a_left_hip_confidence,a_right_hip_x,a_right_hip_y,a_right_hip_confidence,a_left_knee_x,a_left_knee_y,a_left_knee_confidence,a_right_knee_x,a_right_knee_y,a_right_knee_confidence,a_left_ankle_x,a_left_ankle_y,a_left_ankle_confidence,a_right_ankle_x,a_right_ankle_y,a_right_ankle_confidence,b_nose_x,b_nose_y,b_nose_confidence,b_left_eye_x,b_left_eye_y,b_left_eye_confidence,b_right_eye_x,b_right_eye_y,b_right_eye_confidence,b_left_ear_x,b_left_ear_y,b_left_ear_confidence,b_right_ear_x,b_right_ear_y,b_right_ear_confidence,b_left_shoulder_x,b_left_shoulder_y,b_left_shoulder_confidence,b_right_shoulder_x,b_right_shoulder_y,b_right_shoulder_confidence,b_left_elbow_x,b_left_elbow_y,b_left_elbow_confidence,b_right_elbow_x,b_right_elbow_y,b_right_elbow_confidence,b_left_wrist_x,b_left_wrist_y,b_left_wrist_confidence,b_right_wrist_x,b_right_wrist_y,b_right_wrist_confidence,b_left_hip_x,b_left_hip_y,b_left_hip_confidence,b_right_hip_x,b_right_hip_y,b_right_hip_confidence,b_left_knee_x,b_left_knee_y,b_left_knee_confidence,b_right_knee_x,b_right_knee_y,b_right_knee_confidence,b_left_ankle_x,b_left_ankle_y,b_left_ankle_confidence,b_right_ankle_x,b_right_ankle_y,b_right_ankle_confidence
0,640,312,696,419,741,414,906,621,109.0,35.0,0.5757186412811279,116.0,26.0,0.5491651892662048,98.0,24.0,0.5864884853363037,128.0,30.0,0.5717933177947998,82.0,30.0,0.6298216581344604,145.0,52.0,0.5591379404067993,60.0,52.0,0.5605940818786621,185.0,79.0,0.4475579261779785,7.0,77.0,0.5225103497505188,174.0,91.0,0.2462920844554901,23.0,107.0,0.5829883217811584,126.0,105.0,0.3072676360607147,72.0,108.0,0.33004817366600037,147.0,152.0,0.4805549085140228,68.0,150.0,0.49972185492515564,149.0,201.0,0.5409243106842041,55.0,199.0,0.6046233773231506,91.0,38.0,0.8323709964752197,87.0,34.0,0.6751100420951843,86.0,36.0,0.8580830693244934,63.0,51.0,0.4790649712085724,87.0,45.0,0.8159700632095337,61.0,70.0,0.6764383912086487,110.0,68.0,0.6478634476661682,52.0,74.0,0.21811915934085846,161.0,43.0,0.6975702047348022,56.0,48.0,0.17458030581474304,173.0,13.0,0.8003653287887573,69.0,131.0,0.6204754114151001,99.0,132.0,0.5987610816955566,53.0,145.0,0.7261531949043274,130.0,180.0,0.7026498317718506,20.0,162.0,0.7418527603149414,128.0,230.0,0.7704306244850159
1,643,312,701,408,751,430,905,622,106.0,38.0,0.6001068949699402,114.0,28.0,0.5958704352378845,98.0,28.0,0.6305976510047913,126.0,34.0,0.6029556393623352,81.0,33.0,0.6758132576942444,142.0,58.0,0.6241453289985657,58.0,58.0,0.5776392817497253,175.0,84.0,0.5665899515151978,9.0,85.0,0.5248294472694397,163.0,111.0,0.4684690833091736,23.0,119.0,0.5922185778617859,125.0,122.0,0.3831023871898651,72.0,124.0,0.3691554069519043,147.0,168.0,0.4794040322303772,70.0,169.0,0.5681590437889099,158.0,221.0,0.5524901747703552,52.0,220.0,0.5875316262245178,103.0,30.0,0.8694037795066833,98.0,24.0,0.589618444442749,97.0,26.0,0.7962356209754944,71.0,44.0,0.4949689209461212,96.0,36.0,0.7596102952957153,65.0,67.0,0.6628821492195129,117.0,63.0,0.6139327883720398,56.0,75.0,0.24463795125484467,175.0,39.0,0.8045366406440735,68.0,52.0,0.1303490549325943,179.0,13.0,0.7726318836212158,69.0,131.0,0.5962192416191101,99.0,134.0,0.5880798697471619,56.0,142.0,0.6668226718902588,140.0,182.0,0.7163057923316956,26.0,160.0,0.7432328462600708,128.0,234.0,0.7369126081466675
2,647,313,711,409,762,441,914,621,97.0,35.0,0.6807729601860046,105.0,28.0,0.6648496389389038,88.0,28.0,0.7160165309906006,114.0,32.0,0.6964637637138367,72.0,32.0,0.7300860285758972,128.0,58.0,0.6567122936248779,51.0,57.0,0.6035553216934204,155.0,84.0,0.6102818846702576,9.0,83.0,0.5842001438140869,146.0,109.0,0.536963939666748,18.0,117.0,0.6437945365905762,114.0,125.0,0.4134083688259125,65.0,125.0,0.41716817021369934,137.0,167.0,0.5129598379135132,61.0,170.0,0.5790317058563232,152.0,215.0,0.6331586241722107,39.0,216.0,0.6531549096107483,104.0,18.0,0.812538206577301,101.0,17.0,0.574612021446228,100.0,16.0,0.7607541680335999,72.0,32.0,0.46771228313446045,100.0,27.0,0.7833570241928101,59.0,59.0,0.6981973052024841,114.0,58.0,0.6466054320335388,48.0,89.0,0.6830732822418213,176.0,47.0,0.8445636630058289,76.0,80.0,0.18356847763061523,179.0,27.0,0.8161383867263794,57.0,131.0,0.5602704286575317,91.0,134.0,0.5513127446174622,61.0,145.0,0.47767946124076843,146.0,180.0,0.7606688141822815,24.0,167.0,0.7141072154045105,119.0,232.0,0.6987425684928894
3,649,314,720,408,769,442,928,621,93.0,37.0,0.6878564357757568,100.0,30.0,0.6648195385932922,84.0,30.0,0.6978558301925659,109.0,34.0,0.6870077252388,69.0,33.0,0.7498186826705933,119.0,61.0,0.6881822943687439,48.0,60.0,0.6115339994430542,139.0,90.0,0.5351269245147705,11.0,88.0,0.6287442445755005,134.0,115.0,0.5541049838066101,22.0,123.0,0.6621416807174683,106.0,126.0,0.45303961634635925,61.0,129.0,0.4505084753036499,135.0,171.0,0.5505234599113464,54.0,177.0,0.6252778172492981,155.0,217.0,0.6232271194458008,33.0,221.0,0.6408054232597351,103.0,22.0,0.8213006258010864,101.0,18.0,0.5314264893531799,99.0,19.0,0.7475195527076721,70.0,31.0,0.495678186416626,99.0,27.0,0.8122197985649109,55.0,57.0,0.7303855419158936,106.0,63.0,0.6841320991516113,40.0,92.0,0.8062896132469177,166.0,68.0,0.7609589099884033,64.0,80.0,0.23512615263462067,172.0,52.0,0.7799654006958008,49.0,132.0,0.5648712515830994,80.0,140.0,0.5312212109565735,66.0,150.0,0.512885332107544,137.0,179.0,0.7571988105773926,25.0,174.0,0.728836715221405,107.0,231.0,0.70284503698349
4,651,316,728,411,774,443,929,620,90.0,36.0,0.7344814538955688,98.0,28.0,0.7129166722297668,83.0,28.0,0.764311671257019,106.0,32.0,0.6827717423439026,68.0,33.0,0.7803577780723572,113.0,60.0,0.682311475276947,49.0,61.0,0.581762969493866,125.0,91.0,0.5151274800300598,15.0,87.0,0.5733395218849182,127.0,115.0,0.6029218435287476,29.0,121.0,0.6689647436141968,98.0,126.0,0.46719852089881897,59.0,129.0,0.46559756994247437,130.0,160.0,0.4917662441730499,49.0,174.0,0.5533028841018677,155.0,209.0,0.6196293830871582,29.0,219.0,0.6501110792160034,107.0,22.0,0.7208617925643921,104.0,20.0,0.4456790089607239,104.0,20.0,0.6812834739685059,72.0,30.0,0.5652745366096497,103.0,27.0,0.7617756128311157,55.0,59.0,0.7073222398757935,107.0,64.0,0.6847783923149109,31.0,92.0,0.859804630279541,160.0,84.0,0.6124511957168579,54.0,76.0,0.2536906898021698,176.0,74.0,0.7121038436889648,47.0,132.0,0.5520678758621216,84.0,138.0,0.5104933977127075,66.0,150.0,0.4772404432296753,137.0,181.0,0.7593766450881958,27.0,176.0,0.7259982824325562,103.0,232.0,0.721704363822937
5,654,317,735,412,777,442,932,620,90.0,36.0,0.7956963181495667,95.0,28.0,0.7646105289459229,83.0,28.0,0.7981651425361633,102.0,32.0,0.6937636733055115,68.0,33.0,0.7979652285575867,109.0,61.0,0.7184275388717651,51.0,61.0,0.6302976012229919,117.0,92.0,0.5676379203796387,15.0,87.0,0.6420937180519104,121.0,116.0,0.6466882824897766,41.0,127.0,0.7096940279006958,96.0,130.0,0.45429062843322754,56.0,133.0,0.43622228503227234,133.0,165.0,0.5780944228172302,45.0,173.0,0.5504598021507263,155.0,205.0,0.6290175914764404,20.0,216.0,0.6395137310028076,106.0,30.0,0.4536074697971344,106.0,27.0,0.27278316020965576,107.0,27.0,0.5235183238983154,75.0,31.0,0.6101605296134949,104.0,32.0,0.7764133214950562,55.0,59.0,0.6826103329658508,109.0,67.0,0.6836682558059692,24.0,90.0,0.8603175282478333,151.0,93.0,0.6909423470497131,40.0,64.0,0.44040995836257935,174.0,88.0,0.7616528868675232,43.0,132.0,0.566836416721344,80.0,136.0,0.49380573630332947,65.0,149.0,0.4486502707004547,133.0,181.0,0.758442759513855,29.0,178.0,0.7316807508468628,99.0,232.0,0.7189995050430298
6,655,318,741,409,783,440,930,620,94.0,38.0,0.7843186855316162,99.0,30.0,0.7838347554206848,88.0,30.0,0.797145426273346,105.0,34.0,0.6522713899612427,73.0,35.0,0.7639827728271484,108.0,62.0,0.762310802936554,56.0,64.0,0.6480787396430969,109.0,96.0,0.5798726081848145,29.0,94.0,0.6022829413414001,119.0,121.0,0.6660389304161072,59.0,133.0,0.6726440787315369,92.0,126.0,0.5187210440635681,56.0,123.0,0.47321340441703796,129.0,168.0,0.522882878780365,48.0,179.0,0.6481839418411255,157.0,213.0,0.6265918016433716,19.0,223.0,0.6267685890197754,109.0,27.0,0.4066828787326813,109.0,24.0,0.23409932851791382,108.0,24.0,0.4925561845302582,76.0,30.0,0.6211204528808594,106.0,30.0,0.782268226146698,55.0,58.0,0.6635557413101196,111.0,65.0,0.7136634588241577,15.0,87.0,0.8563494682312012,146.0,99.0,0.6932151913642883,31.0,67.0,0.6620576977729797,173.0,101.0,0.764511227607727,40.0,130.0,0.598019003868103,75.0,137.0,0.5224281549453735,63.0,147.0,0.4241162836551666,130.0,180.0,0.7417855858802795,28.0,179.0,0.7318493723869324,96.0,232.0,0.7020807862281799
7,655,320,741,411,788,435,927,621,106.0,32.0,0.7886372208595276,109.0,25.0,0.8139929175376892,100.0,26.0,0.8013377785682678,115.0,28.0,0.7054485082626343,87.0,29.0,0.7875596284866333,115.0,56.0,0.7639462947845459,71.0,58.0,0.6947554349899292,111.0,93.0,0.601820707321167,51.0,94.0,0.6631714701652527,127.0,120.0,0.6980274319648743,87.0,131.0,0.6847171783447266,101.0,120.0,0.49792394042015076,66.0,120.0,0.5221362113952637,139.0,163.0,0.6577746868133545,59.0,177.0,0.7200758457183838,157.0,209.0,0.6767746210098267,20.0,216.0,0.6538213491439819,108.0,35.0,0.36467453837394714,109.0,28.0,0.204310804605484,107.0,31.0,0.5105656981468201,76.0,31.0,0.604983389377594,104.0,32.0,0.7873978614807129,51.0,56.0,0.6583468317985535,113.0,64.0,0.7299007177352905,9.0,83.0,0.8281671404838562,139.0,99.0,0.7488824725151062,23.0,61.0,0.6968857049942017,171.0,109.0,0.7356642484664917,38.0,124.0,0.5470665693283081,75.0,132.0,0.524509072303772,60.0,145.0,0.4402224123477936,126.0,178.0,0.731193482875824,31.0,180.0,0.7643444538116455,95.0,231.0,0.7035126686096191
8,656,319,741,410,786,429,920,620,117.0,33.0,0.7961336970329285,119.0,26.0,0.8370736241340637,110.0,26.0,0.8120163083076477,125.0,30.0,0.546099841594696,96.0,30.0,0.7517509460449219,120.0,58.0,0.7082688808441162,83.0,61.0,0.7232666611671448,110.0,100.0,0.47275131940841675,76.0,104.0,0.6891273856163025,130.0,123.0,0.5018079280853271,115.0,133.0,0.7015644907951355,108.0,126.0,0.34851714968681335,76.0,131.0,0.4981924891471863,148.0,166.0,0.6458013653755188,72.0,179.0,0.6376745104789734,157.0,213.0,0.6735984086990356,20.0,219.0,0.6203864216804504,113.0,31.0,0.3715144097805023,113.0,28.0,0.21440985798835754,113.0,27.0,0.4972299337387085,80.0,28.0,0.572436511516571,110.0,30.0,0.7554589509963989,55.0,54.0,0.682342529296875,119.0,63.0,0.7155619263648987,11.0,79.0,0.8300824165344238,139.0,99.0,0.7664498686790466,27.0,58.0,0.6734905242919922,171.0,115.0,0.7028566598892212,49.0,123.0,0.5032786130905151,86.0,128.0,0.5124145746231079,65.0,145.0,0.49456024169921875,124.0,176.0,0.7005727291107178,40.0,184.0,0.7883660793304443,100.0,230.0,0.7208060622215271
9,656,318,741,411,784,423,914,620,129.0,34.0,0.8019929528236389,129.0,28.0,0.8429542779922485,122.0,28.0,0.817438006401062,132.0,31.0,0.3977629542350769,107.0,31.0,0.7735748887062073,123.0,61.0,0.678993821144104,92.0,62.0,0.7204421162605286,115.0,98.0,0.4143159091472626,98.0,104.0,0.6722489595413208,136.0,122.0,0.19154168665409088,137.0,125.0,0.6695958971977234,113.0,128.0,0.4708290994167328,84.0,129.0,0.5081573724746704,155.0,165.0,0.655525803565979,79.0,183.0,0.6126769781112671,158.0,211.0,0.700485348701477,24.0,216.0,0.6048473715782166,120.0,32.0,0.35034289956092834,119.0,30.0,0.17665889859199524,117.0,31.0,0.5282611846923828,84.0,27.0,0.5510281324386597,114.0,30.0,0.7446193099021912,57.0,54.0,0.6436465978622437,123.0,61.0,0.7165587544441223,11.0,75.0,0.7889009118080139,139.0,97.0,0.8053066730499268,31.0,55.0,0.7452083826065063,173.0,117.0,0.7523461580276489,55.0,122.0,0.49991700053215027,93.0,125.0,0.5333716869354248,65.0,145.0,0.6060647964477539,118.0,170.0,0.6197457909584045,43.0,186.0,0.7599736452102661,107.0,227.0,0.7345404624938965
