frame,abb_xmin,abb_ymin,abb_xmax,abb_ymax,bbb_xmin,bbb_ymin,bbb_xmax,bbb_ymax,a_nose_x,a_nose_y,a_nose_confidence,a_left_eye_x,a_left_eye_y,a_left_eye_confidence,a_right_eye_x,a_right_eye_y,a_right_eye_confidence,a_left_ear_x,a_left_ear_y,a_left_ear_confidence,a_right_ear_x,a_right_ear_y,a_right_ear_confidence,a_left_shoulder_x,a_left_shoulder_y,a_left_shoulder_confidence,a_right_shoulder_x,a_right_shoulder_y,a_right_shoulder_confidence,a_left_elbow_x,a_left_elbow_y,a_left_elbow_confidence,a_right_elbow_x,a_right_elbow_y,a_right_elbow_confidence,a_left_wrist_x,a_left_wrist_y,a_left_wrist_confidence,a_right_wrist_x,a_right_wrist_y,a_right_wrist_confidence,a_left_hip_x,a_left_hip_y,a_left_hip_confidence,a_right_hip_x,a_right_hip_y,a_right_hip_confidence,a_left_knee_x,a_left_knee_y,a_left_knee_confidence,a_right_knee_x,a_right_knee_y,a_right_knee_confidence,a_left_ankle_x,a_left_ankle_y,a_left_ankle_confidence,a_right_ankle_x,a_right_ankle_y,a_right_ankle_confidence,b_nose_x,b_nose_y,b_nose_confidence,b_left_eye_x,b_left_eye_y,b_left_eye_confidence,b_right_eye_x,b_right_eye_y,b_right_eye_confidence,b_left_ear_x,b_left_ear_y,b_left_ear_confidence,b_right_ear_x,b_right_ear_y,b_right_ear_confidence,b_left_shoulder_x,b_left_shoulder_y,b_left_shoulder_confidence,b_right_shoulder_x,b_right_shoulder_y,b_right_shoulder_confidence,b_left_elbow_x,b_left_elbow_y,b_left_elbow_confidence,b_right_elbow_x,b_right_elbow_y,b_right_elbow_confidence,b_left_wrist_x,b_left_wrist_y,b_left_wrist_confidence,b_right_wrist_x,b_right_wrist_y,b_right_wrist_confidence,b_left_hip_x,b_left_hip_y,b_left_hip_confidence,b_right_hip_x,b_right_hip_y,b_right_hip_confidence,b_left_knee_x,b_left_knee_y,b_left_knee_confidence,b_right_knee_x,b_right_knee_y,b_right_knee_confidence,b_left_ankle_x,b_left_ankle_y,b_left_ankle_confidence,b_right_ankle_x,b_right_ankle_y,b_right_ankle_confidence
0,566,307,653,405,430,336,540,561,78.0,30.0,0.756130039691925,85.0,24.0,0.771268367767334,72.0,24.0,0.832370936870575,94.0,28.0,0.7970648407936096,65.0,29.0,0.8573183417320251,114.0,58.0,0.7313623428344727,54.0,58.0,0.7223188877105713,137.0,86.0,0.6045079827308655,33.0,87.0,0.635676920413971,131.0,100.0,0.6201798915863037,16.0,108.0,0.5540540218353271,112.0,126.0,0.5429485440254211,77.0,131.0,0.5474936962127686,138.0,172.0,0.6824354529380798,71.0,181.0,0.5463348031044006,168.0,215.0,0.6447377800941467,83.0,228.0,0.7176139950752258,76.0,55.0,0.3272624611854553,70.0,54.0,0.2957729697227478,69.0,56.0,0.3670550584793091,48.0,76.0,0.3254321217536926,68.0,63.0,0.4575002193450928,57.0,90.0,0.5106704235076904,114.0,66.0,0.6157937049865723,10.0,85.0,0.3095000088214874,128.0,42.0,0.7422880530357361,44.0,60.0,0.17407067120075226,129.0,17.0,0.6209040880203247,90.0,140.0,0.4187489449977875,136.0,128.0,0.433208167552948,100.0,188.0,0.6804469227790833,168.0,168.0,0.5996206402778625,105.0,229.0,0.687339186668396,171.0,207.0,0.7408760786056519
1,570,308,654,404,430,348,550,569,77.0,29.0,0.7734875082969666,83.0,22.0,0.7780267000198364,71.0,22.0,0.8311000466346741,93.0,26.0,0.7773735523223877,63.0,27.0,0.8251935243606567,112.0,58.0,0.7247598767280579,51.0,57.0,0.6944128274917603,138.0,84.0,0.6064837574958801,29.0,87.0,0.5654942989349365,131.0,100.0,0.6120045185089111,12.0,110.0,0.45448729395866394,113.0,128.0,0.5309731960296631,75.0,133.0,0.5368433594703674,143.0,173.0,0.6547701954841614,59.0,181.0,0.5642687082290649,172.0,215.0,0.5786229372024536,72.0,228.0,0.6750694513320923,86.0,50.0,0.43616244196891785,87.0,48.0,0.3617149889469147,84.0,50.0,0.451667457818985,40.0,64.0,0.3465721607208252,66.0,56.0,0.6084259748458862,53.0,84.0,0.5531796813011169,107.0,61.0,0.6777119040489197,17.0,77.0,0.32895371317863464,122.0,38.0,0.7794281244277954,0.0,74.0,0.16776788234710693,124.0,13.0,0.7313582897186279,84.0,134.0,0.4862828552722931,128.0,124.0,0.48086264729499817,98.0,183.0,0.7162495255470276,160.0,158.0,0.6355404853820801,108.0,228.0,0.7141444683074951,167.0,195.0,0.7653596997261047
2,571,309,660,402,432,360,558,571,73.0,29.0,0.8017328977584839,79.0,22.0,0.8075621128082275,68.0,22.0,0.8626280426979065,89.0,27.0,0.8114050626754761,60.0,27.0,0.8561916947364807,108.0,58.0,0.7479031085968018,50.0,59.0,0.7241604924201965,130.0,88.0,0.5404006242752075,33.0,89.0,0.5981552600860596,123.0,104.0,0.6152738928794861,16.0,114.0,0.5962111949920654,108.0,130.0,0.5460167527198792,72.0,133.0,0.5626856684684753,141.0,177.0,0.6729146838188171,53.0,185.0,0.6141065359115601,173.0,221.0,0.6127316951751709,63.0,228.0,0.7399944067001343,81.0,51.0,0.3469758629798889,27.0,60.0,0.2628718912601471,69.0,52.0,0.4024372398853302,38.0,60.0,0.41527724266052246,60.0,52.0,0.5629805326461792,49.0,82.0,0.5369052886962891,101.0,60.0,0.6879836320877075,24.0,72.0,0.211003378033638,119.0,37.0,0.80014967918396,78.0,56.0,0.2871849238872528,119.0,13.0,0.748421311378479,80.0,134.0,0.5206164121627808,120.0,123.0,0.4905553162097931,96.0,185.0,0.7343689799308777,152.0,150.0,0.6646496057510376,110.0,231.0,0.7353615760803223,169.0,187.0,0.7590739727020264
3,573,310,668,403,436,379,565,573,69.0,29.0,0.8091950416564941,75.0,24.0,0.801852822303772,64.0,24.0,0.8590213060379028,85.0,28.0,0.8326237201690674,57.0,29.0,0.8550716042518616,101.0,60.0,0.7540079355239868,48.0,60.0,0.7526177763938904,121.0,90.0,0.5389865636825562,31.0,91.0,0.6523500680923462,115.0,103.0,0.6215611696243286,18.0,116.0,0.6736175417900085,102.0,130.0,0.5409863591194153,68.0,133.0,0.5717877149581909,135.0,176.0,0.679354727268219,46.0,183.0,0.5946509838104248,167.0,221.0,0.6463527679443359,51.0,224.0,0.722548246383667,74.0,39.0,0.3606761395931244,23.0,48.0,0.2432660311460495,63.0,39.0,0.42318060994148254,34.0,52.0,0.3889159560203552,60.0,40.0,0.5598833560943604,41.0,72.0,0.5396986603736877,97.0,52.0,0.71241694688797,13.0,61.0,0.2281130850315094,115.0,31.0,0.7740719318389893,68.0,46.0,0.13794803619384766,114.0,10.0,0.7418579459190369,75.0,128.0,0.5110419392585754,116.0,117.0,0.4953681528568268,92.0,184.0,0.7304126620292664,150.0,148.0,0.658061146736145,107.0,233.0,0.7196832895278931,169.0,183.0,0.7713351249694824
4,578,312,671,403,437,393,568,575,65.0,30.0,0.7929598093032837,70.0,24.0,0.7920840382575989,60.0,24.0,0.8598096966743469,81.0,28.0,0.8195706605911255,52.0,29.0,0.8495625853538513,97.0,61.0,0.7337565422058105,40.0,62.0,0.7388275265693665,119.0,90.0,0.5838645696640015,27.0,91.0,0.5930944085121155,109.0,108.0,0.6147056818008423,15.0,119.0,0.5719841718673706,97.0,132.0,0.5441941022872925,63.0,137.0,0.5561541318893433,134.0,177.0,0.6422221660614014,37.0,185.0,0.617394745349884,165.0,221.0,0.6526536345481873,40.0,228.0,0.7372512221336365,26.0,36.0,0.20209504663944244,26.0,36.0,0.384712278842926,27.0,36.0,0.2175980806350708,32.0,40.0,0.4871959388256073,59.0,29.0,0.6850775480270386,41.0,64.0,0.5390765070915222,97.0,44.0,0.684803307056427,24.0,68.0,0.16677312552928925,115.0,31.0,0.7696849703788757,16.0,52.0,0.19020000100135803,115.0,13.0,0.7110301852226257,74.0,124.0,0.5230140089988708,114.0,113.0,0.501653254032135,88.0,182.0,0.7222728729248047,148.0,142.0,0.6510931849479675,106.0,232.0,0.7180888056755066,171.0,181.0,0.7502521276473999
5,583,315,673,404,445,404,569,575,61.0,29.0,0.8227104544639587,66.0,22.0,0.829111635684967,56.0,22.0,0.8715189695358276,77.0,27.0,0.835637629032135,48.0,29.0,0.8355206251144409,96.0,62.0,0.717913806438446,35.0,63.0,0.7307336926460266,115.0,98.0,0.6063066124916077,23.0,93.0,0.49286821484565735,99.0,114.0,0.5810554623603821,16.0,123.0,0.6013687252998352,94.0,136.0,0.5204188823699951,57.0,137.0,0.5320364236831665,136.0,183.0,0.5953008532524109,26.0,185.0,0.6773645877838135,168.0,222.0,0.5959174633026123,32.0,226.0,0.7156355381011963,17.0,28.0,0.18876154720783234,17.0,28.0,0.35401687026023865,59.0,23.0,0.20627854764461517,22.0,30.0,0.5259663462638855,54.0,22.0,0.7269980907440186,28.0,60.0,0.5138383507728577,88.0,38.0,0.6928340196609497,16.0,68.0,0.3748345673084259,113.0,35.0,0.7521800398826599,16.0,48.0,0.1248277798295021,112.0,24.0,0.7149693369865417,69.0,125.0,0.5163065195083618,114.0,113.0,0.4881085455417633,82.0,181.0,0.7193954586982727,146.0,144.0,0.6161374449729919,100.0,231.0,0.6592614650726318,171.0,187.0,0.7441948056221008
6,583,319,674,402,449,406,566,575,61.0,27.0,0.859988808631897,65.0,21.0,0.8054160475730896,56.0,22.0,0.8566799759864807,76.0,26.0,0.8168177008628845,49.0,27.0,0.7680338025093079,96.0,62.0,0.7036942839622498,40.0,64.0,0.7321522235870361,115.0,102.0,0.7084879875183105,31.0,100.0,0.5633542537689209,92.0,124.0,0.7141706347465515,30.0,128.0,0.5934988856315613,99.0,138.0,0.46221423149108887,61.0,141.0,0.5105566382408142,130.0,185.0,0.6175196170806885,21.0,185.0,0.7353838682174683,169.0,229.0,0.6265727281570435,32.0,231.0,0.6980707049369812,16.0,32.0,0.23677650094032288,16.0,28.0,0.38626915216445923,18.0,27.0,0.22698773443698883,17.0,31.0,0.49962887167930603,55.0,23.0,0.7170655131340027,22.0,58.0,0.45722898840904236,92.0,40.0,0.708078145980835,23.0,87.0,0.651314377784729,120.0,48.0,0.760834813117981,42.0,75.0,0.12782686948776245,101.0,55.0,0.25355979800224304,71.0,126.0,0.45945388078689575,120.0,113.0,0.4403690695762634,78.0,180.0,0.7104394435882568,151.0,155.0,0.6439502835273743,100.0,230.0,0.6751021146774292,173.0,202.0,0.6692578792572021
7,583,321,675,403,449,406,565,574,61.0,29.0,0.8551498055458069,65.0,23.0,0.830818235874176,56.0,24.0,0.8652912378311157,77.0,28.0,0.8168556690216064,49.0,31.0,0.7646645903587341,98.0,66.0,0.689204752445221,43.0,70.0,0.7151931524276733,115.0,103.0,0.7574187517166138,43.0,105.0,0.5230079293251038,88.0,125.0,0.6662910580635071,66.0,124.0,0.4175048768520355,102.0,140.0,0.5035042762756348,64.0,141.0,0.5237767100334167,136.0,185.0,0.6539371609687805,21.0,181.0,0.7406591773033142,169.0,227.0,0.6275832653045654,32.0,228.0,0.701781153678894,21.0,34.0,0.21938951313495636,16.0,28.0,0.3414234220981598,27.0,30.0,0.2387244999408722,20.0,31.0,0.5612691044807434,59.0,25.0,0.7190432548522949,20.0,60.0,0.6204602122306824,95.0,45.0,0.7001464366912842,20.0,92.0,0.7471560835838318,123.0,63.0,0.6646308302879333,49.0,87.0,0.18333420157432556,95.0,67.0,0.20233626663684845,71.0,128.0,0.4649019241333008,125.0,121.0,0.46910807490348816,78.0,182.0,0.7304339408874512,150.0,164.0,0.6970400810241699,100.0,230.0,0.6813795566558838,171.0,212.0,0.7202878594398499
8,584,322,675,403,448,406,565,575,57.0,33.0,0.8400412201881409,59.0,26.0,0.8344492316246033,51.0,26.0,0.8702746629714966,72.0,30.0,0.8240822553634644,44.0,33.0,0.6678294539451599,92.0,66.0,0.682471513748169,43.0,69.0,0.6777226328849792,115.0,105.0,0.7816193103790283,51.0,103.0,0.31856030225753784,80.0,127.0,0.6901249289512634,55.0,123.0,0.34512457251548767,101.0,141.0,0.5146375894546509,64.0,141.0,0.513714611530304,140.0,185.0,0.6317659616470337,19.0,181.0,0.7444722056388855,171.0,227.0,0.6326503157615662,35.0,225.0,0.6876468658447266,21.0,34.0,0.2939528524875641,22.0,28.0,0.39900946617126465,27.0,30.0,0.2581256628036499,25.0,31.0,0.5569060444831848,63.0,25.0,0.6851230263710022,23.0,61.0,0.6144264340400696,99.0,47.0,0.6950505375862122,24.0,98.0,0.6649010181427002,125.0,73.0,0.6059800982475281,45.0,103.0,0.232319638133049,100.0,86.0,0.19926664233207703,74.0,128.0,0.4911072850227356,129.0,121.0,0.4972206652164459,78.0,180.0,0.7395173907279968,147.0,164.0,0.7381572723388672,100.0,230.0,0.6781384944915771,171.0,211.0,0.7209570407867432
9,584,322,675,403,451,406,564,575,50.0,34.0,0.7977657318115234,54.0,28.0,0.8149828910827637,46.0,30.0,0.8594151139259338,68.0,32.0,0.8365918397903442,40.0,35.0,0.689938485622406,84.0,66.0,0.690215528011322,43.0,69.0,0.6548774838447571,109.0,107.0,0.7546858787536621,56.0,103.0,0.327693372964859,70.0,129.0,0.6781795620918274,52.0,124.0,0.3974696695804596,99.0,141.0,0.5119121670722961,67.0,145.0,0.48080846667289734,138.0,187.0,0.6573979258537292,18.0,182.0,0.7411018013954163,169.0,226.0,0.6132603883743286,38.0,224.0,0.6549807786941528,21.0,34.0,0.3474961817264557,22.0,28.0,0.4444287121295929,19.0,26.0,0.2527793347835541,25.0,33.0,0.572925329208374,63.0,25.0,0.6605157256126404,20.0,60.0,0.6276536583900452,103.0,47.0,0.6690832376480103,20.0,96.0,0.6649622917175293,122.0,76.0,0.4903273582458496,21.0,117.0,0.6988589763641357,108.0,100.0,0.22181041538715363,75.0,128.0,0.46433088183403015,129.0,121.0,0.4746338427066803,76.0,180.0,0.7424023151397705,145.0,163.0,0.6856616139411926,100.0,230.0,0.680603563785553,171.0,208.0,0.7016926407814026
