frame,abb_xmin,abb_ymin,abb_xmax,abb_ymax,bbb_xmin,bbb_ymin,bbb_xmax,bbb_ymax,a_nose_x,a_nose_y,a_nose_confidence,a_left_eye_x,a_left_eye_y,a_left_eye_confidence,a_right_eye_x,a_right_eye_y,a_right_eye_confidence,a_left_ear_x,a_left_ear_y,a_left_ear_confidence,a_right_ear_x,a_right_ear_y,a_right_ear_confidence,a_left_shoulder_x,a_left_shoulder_y,a_left_shoulder_confidence,a_right_shoulder_x,a_right_shoulder_y,a_right_shoulder_confidence,a_left_elbow_x,a_left_elbow_y,a_left_elbow_confidence,a_right_elbow_x,a_right_elbow_y,a_right_elbow_confidence,a_left_wrist_x,a_left_wrist_y,a_left_wrist_confidence,a_right_wrist_x,a_right_wrist_y,a_right_wrist_confidence,a_left_hip_x,a_left_hip_y,a_left_hip_confidence,a_right_hip_x,a_right_hip_y,a_right_hip_confidence,a_left_knee_x,a_left_knee_y,a_left_knee_confidence,a_right_knee_x,a_right_knee_y,a_right_knee_confidence,a_left_ankle_x,a_left_ankle_y,a_left_ankle_confidence,a_right_ankle_x,a_right_ankle_y,a_right_ankle_confidence,b_nose_x,b_nose_y,b_nose_confidence,b_left_eye_x,b_left_eye_y,b_left_eye_confidence,b_right_eye_x,b_right_eye_y,b_right_eye_confidence,b_left_ear_x,b_left_ear_y,b_left_ear_confidence,b_right_ear_x,b_right_ear_y,b_right_ear_confidence,b_left_shoulder_x,b_left_shoulder_y,b_left_shoulder_confidence,b_right_shoulder_x,b_right_shoulder_y,b_right_shoulder_confidence,b_left_elbow_x,b_left_elbow_y,b_left_elbow_confidence,b_right_elbow_x,b_right_elbow_y,b_right_elbow_confidence,b_left_wrist_x,b_left_wrist_y,b_left_wrist_confidence,b_right_wrist_x,b_right_wrist_y,b_right_wrist_confidence,b_left_hip_x,b_left_hip_y,b_left_hip_confidence,b_right_hip_x,b_right_hip_y,b_right_hip_confidence,b_left_knee_x,b_left_knee_y,b_left_knee_confidence,b_right_knee_x,b_right_knee_y,b_right_knee_confidence,b_left_ankle_x,b_left_ankle_y,b_left_ankle_confidence,b_right_ankle_x,b_right_ankle_y,b_right_ankle_confidence
0,582,328,676,410,406,381,527,593,53.0,43.0,0.8721575736999512,57.0,35.0,0.861409068107605,48.0,36.0,0.8532480001449585,74.0,34.0,0.7943819761276245,47.0,39.0,0.537894070148468,100.0,54.0,0.6650343537330627,51.0,73.0,0.7201429009437561,136.0,60.0,0.5479946136474609,35.0,101.0,0.7034030556678772,159.0,68.0,0.5576362609863281,14.0,124.0,0.6480429172515869,107.0,132.0,0.5944567918777466,71.0,131.0,0.5563942790031433,140.0,175.0,0.654765784740448,44.0,159.0,0.6798511743545532,176.0,204.0,0.6632299423217773,48.0,224.0,0.6756617426872253,120.0,32.0,0.38666462898254395,118.0,30.0,0.24971942603588104,118.0,30.0,0.5703113675117493,84.0,30.0,0.5482472777366638,114.0,32.0,0.708375871181488,51.0,56.0,0.5122332572937012,143.0,55.0,0.6088135242462158,15.0,87.0,0.7624503970146179,180.0,89.0,0.6494591236114502,23.0,120.0,0.7026702761650085,176.0,95.0,0.6682933568954468,70.0,120.0,0.46087393164634705,116.0,117.0,0.4528697431087494,72.0,164.0,0.640703022480011,117.0,169.0,0.6637718677520752,44.0,211.0,0.6806746125221252,73.0,217.0,0.6473638415336609
1,585,330,674,410,416,378,531,589,43.0,42.0,0.8368289470672607,47.0,33.0,0.8427005410194397,39.0,35.0,0.8387539982795715,63.0,32.0,0.7791439890861511,37.0,39.0,0.5649191737174988,91.0,53.0,0.6535149216651917,43.0,70.0,0.6889562010765076,126.0,57.0,0.5626468062400818,31.0,93.0,0.5612868666648865,157.0,64.0,0.6074380278587341,16.0,109.0,0.6816978454589844,101.0,128.0,0.5701726675033569,61.0,127.0,0.5271635055541992,137.0,173.0,0.6461358070373535,38.0,157.0,0.6711869239807129,173.0,204.0,0.6575543284416199,44.0,224.0,0.6565268635749817,128.0,36.0,0.4357769787311554,126.0,32.0,0.2950607240200043,125.0,32.0,0.6019915342330933,88.0,34.0,0.5964199304580688,120.0,34.0,0.7119879126548767,55.0,58.0,0.4693105220794678,143.0,57.0,0.555649995803833,11.0,86.0,0.7372312545776367,181.0,93.0,0.5689008235931396,18.0,120.0,0.714521586894989,176.0,103.0,0.6057636141777039,68.0,122.0,0.4228888750076294,117.0,119.0,0.4323044419288635,80.0,164.0,0.6442662477493286,125.0,169.0,0.6554149389266968,55.0,211.0,0.6537516713142395,80.0,216.0,0.6502511501312256
2,584,331,669,410,421,381,538,581,41.0,41.0,0.8234951496124268,46.0,32.0,0.8403415083885193,37.0,34.0,0.8051425814628601,63.0,32.0,0.7323845624923706,35.0,39.0,0.45606836676597595,92.0,50.0,0.6477823853492737,42.0,67.0,0.670707643032074,132.0,54.0,0.5283348560333252,24.0,100.0,0.4867396354675293,163.0,65.0,0.5700618624687195,21.0,103.0,0.4016859531402588,103.0,124.0,0.5453357100486755,63.0,125.0,0.5384386777877808,140.0,171.0,0.6213286519050598,40.0,157.0,0.6592501401901245,175.0,201.0,0.663826048374176,48.0,223.0,0.6631242036819458,132.0,36.0,0.5211054682731628,131.0,30.0,0.3439880609512329,131.0,31.0,0.6206113696098328,99.0,31.0,0.5815791487693787,128.0,32.0,0.6983690857887268,58.0,56.0,0.41954779624938965,147.0,57.0,0.5140441060066223,15.0,85.0,0.6878684163093567,168.0,88.0,0.46015891432762146,13.0,120.0,0.7526408433914185,170.0,109.0,0.6928271651268005,66.0,120.0,0.42145103216171265,113.0,121.0,0.43543124198913574,88.0,166.0,0.6397508978843689,126.0,176.0,0.6607174277305603,73.0,215.0,0.5436607599258423,88.0,224.0,0.555603563785553
3,586,332,668,410,423,383,542,582,37.0,39.0,0.8155429363250732,41.0,31.0,0.8304439783096313,32.0,32.0,0.7987256646156311,58.0,30.0,0.7349948287010193,28.0,37.0,0.5762204527854919,88.0,48.0,0.6382056474685669,35.0,65.0,0.6993758082389832,130.0,53.0,0.4962460696697235,19.0,97.0,0.48688673973083496,163.0,67.0,0.5924545526504517,18.0,96.0,0.4317947030067444,99.0,120.0,0.5252848267555237,56.0,123.0,0.5374211072921753,137.0,169.0,0.6121299862861633,34.0,157.0,0.6663177609443665,171.0,201.0,0.6623939871788025,47.0,223.0,0.6442465782165527,140.0,36.0,0.6324976086616516,139.0,30.0,0.4246861934661865,139.0,31.0,0.6939917802810669,108.0,31.0,0.5334649682044983,137.0,32.0,0.6909398436546326,64.0,54.0,0.44745174050331116,159.0,61.0,0.5038504600524902,23.0,83.0,0.7156000733375549,168.0,92.0,0.4637209475040436,12.0,116.0,0.7668004631996155,166.0,112.0,0.6589560508728027,70.0,120.0,0.4317769408226013,112.0,117.0,0.4405023455619812,101.0,166.0,0.5700979828834534,130.0,174.0,0.6807985901832581,105.0,209.0,0.557780921459198,88.0,228.0,0.6155111193656921
4,585,331,671,410,423,387,545,581,35.0,42.0,0.8170323371887207,39.0,34.0,0.8224325180053711,30.0,36.0,0.8117789030075073,54.0,32.0,0.7145587205886841,27.0,39.0,0.5777450799942017,83.0,49.0,0.6617128252983093,32.0,66.0,0.6703400015830994,126.0,57.0,0.47666165232658386,16.0,99.0,0.39778682589530945,155.0,69.0,0.5794535875320435,14.0,98.0,0.43702271580696106,95.0,120.0,0.5425214171409607,53.0,123.0,0.5487709045410156,129.0,167.0,0.5978375673294067,34.0,157.0,0.682678759098053,159.0,201.0,0.676605224609375,47.0,223.0,0.6512329578399658,152.0,36.0,0.6320905685424805,151.0,30.0,0.5230967998504639,151.0,30.0,0.6871058344841003,118.0,31.0,0.49005812406539917,146.0,32.0,0.6559173464775085,78.0,52.0,0.4512898325920105,167.0,62.0,0.5053213238716125,37.0,81.0,0.6107420325279236,171.0,95.0,0.5262345671653748,15.0,113.0,0.7341985702514648,163.0,115.0,0.685440719127655,81.0,120.0,0.42446884512901306,115.0,121.0,0.4031917154788971,118.0,166.0,0.4494945704936981,139.0,178.0,0.6625019907951355,132.0,204.0,0.6558598279953003,80.0,225.0,0.5859967470169067
5,583,331,668,410,425,393,558,578,37.0,39.0,0.833469569683075,42.0,32.0,0.8266745209693909,33.0,34.0,0.8042562007904053,58.0,30.0,0.7003357410430908,31.0,37.0,0.5302190780639648,85.0,47.0,0.6644949913024902,35.0,65.0,0.6747600436210632,128.0,57.0,0.5136376023292542,16.0,99.0,0.34643685817718506,159.0,71.0,0.6281532049179077,14.0,98.0,0.4894278049468994,100.0,118.0,0.5260359048843384,56.0,123.0,0.5515681505203247,132.0,164.0,0.596709132194519,38.0,157.0,0.6507377624511719,157.0,201.0,0.6655402779579163,51.0,223.0,0.6597681641578674,146.0,32.0,0.5712590217590332,147.0,26.0,0.46434879302978516,145.0,27.0,0.6675844788551331,112.0,29.0,0.5694668889045715,142.0,28.0,0.7091495394706726,77.0,52.0,0.554360568523407,159.0,61.0,0.6458720564842224,41.0,80.0,0.7034090757369995,158.0,100.0,0.579906165599823,17.0,112.0,0.7286906242370605,150.0,117.0,0.6301774978637695,83.0,120.0,0.4447711706161499,113.0,125.0,0.4381834864616394,126.0,160.0,0.31353533267974854,136.0,185.0,0.6999902725219727,148.0,199.0,0.6951015591621399,71.0,227.0,0.6173136234283447
6,582,330,665,410,429,398,568,577,39.0,39.0,0.7942448258399963,45.0,30.0,0.793832540512085,35.0,32.0,0.7988259792327881,60.0,29.0,0.7018383145332336,32.0,37.0,0.5346958637237549,86.0,47.0,0.6698511838912964,35.0,65.0,0.7010053396224976,132.0,59.0,0.5361077189445496,16.0,103.0,0.3773030638694763,160.0,74.0,0.6193644404411316,17.0,103.0,0.45138368010520935,102.0,116.0,0.535998523235321,56.0,121.0,0.5688028931617737,133.0,161.0,0.6062155961990356,42.0,159.0,0.6550495028495789,155.0,201.0,0.6802865266799927,54.0,223.0,0.6544421315193176,140.0,32.0,0.5536786913871765,141.0,28.0,0.3358156085014343,139.0,29.0,0.6146142482757568,110.0,29.0,0.6153510212898254,137.0,29.0,0.7239208221435547,77.0,54.0,0.6156240701675415,155.0,61.0,0.7232943773269653,44.0,82.0,0.6858816742897034,151.0,105.0,0.6349821090698242,19.0,113.0,0.7400311231613159,135.0,121.0,0.27313029766082764,89.0,124.0,0.47391477227211,115.0,125.0,0.48014193773269653,129.0,159.0,0.24266086518764496,138.0,188.0,0.7007849216461182,152.0,196.0,0.657535970211029,71.0,223.0,0.6002491116523743
7,581,328,661,410,437,404,570,573,43.0,40.0,0.7954650521278381,49.0,30.0,0.7863056659698486,37.0,34.0,0.798894464969635,63.0,30.0,0.7476077079772949,35.0,39.0,0.5764136910438538,90.0,50.0,0.6789817810058594,35.0,67.0,0.677482545375824,136.0,63.0,0.5443735122680664,24.0,98.0,0.40187689661979675,167.0,80.0,0.5961768627166748,18.0,108.0,0.5374106764793396,107.0,116.0,0.5299115180969238,63.0,123.0,0.576083242893219,139.0,164.0,0.5944026708602905,46.0,159.0,0.6577686071395874,153.0,201.0,0.6635639071464539,59.0,223.0,0.662817656993866,144.0,32.0,0.5323997139930725,143.0,30.0,0.27778297662734985,143.0,29.0,0.58412104845047,112.0,31.0,0.5972141027450562,140.0,30.0,0.7335402369499207,80.0,54.0,0.6305053234100342,159.0,65.0,0.7356175780296326,45.0,87.0,0.651364266872406,153.0,109.0,0.6755089163780212,19.0,117.0,0.7363910675048828,139.0,125.0,0.43369796872138977,89.0,128.0,0.4887067377567291,119.0,133.0,0.48643365502357483,154.0,152.0,0.7011880278587341,145.0,198.0,0.7028111219406128,153.0,199.0,0.5927165746688843,74.0,223.0,0.6050087809562683
8,579,327,659,410,447,409,568,574,49.0,38.0,0.8040986061096191,53.0,30.0,0.8132331967353821,44.0,32.0,0.7990022301673889,70.0,30.0,0.7585501074790955,39.0,35.0,0.5386955142021179,96.0,50.0,0.6630683541297913,39.0,67.0,0.6865056753158569,138.0,65.0,0.5371863842010498,28.0,96.0,0.4368978440761566,168.0,82.0,0.6079033613204956,22.0,118.0,0.5714932680130005,112.0,114.0,0.528917670249939,68.0,121.0,0.5793070793151855,141.0,162.0,0.5914543867111206,52.0,161.0,0.6550701260566711,149.0,200.0,0.6455328464508057,63.0,223.0,0.6529055833816528,148.0,32.0,0.47390469908714294,147.0,30.0,0.2677929699420929,147.0,27.0,0.5770905017852783,115.0,29.0,0.5863094329833984,143.0,29.0,0.710559070110321,80.0,55.0,0.5893051028251648,167.0,65.0,0.7080004215240479,47.0,87.0,0.599087655544281,159.0,109.0,0.5563393831253052,16.0,119.0,0.6974954009056091,144.0,128.0,0.21669207513332367,93.0,128.0,0.4932958781719208,125.0,129.0,0.453374981880188,165.0,147.0,0.6618702411651611,150.0,192.0,0.609010636806488,156.0,201.0,0.5445212125778198,76.0,217.0,0.6287965178489685
9,579,325,658,410,456,411,570,572,49.0,38.0,0.7813937067985535,55.0,30.0,0.7855820059776306,44.0,32.0,0.7806464433670044,71.0,31.0,0.7462958693504333,43.0,35.0,0.5578601360321045,100.0,52.0,0.6441847085952759,40.0,67.0,0.6558198928833008,140.0,68.0,0.5529376864433289,28.0,97.0,0.5447760224342346,169.0,88.0,0.6315243244171143,22.0,123.0,0.631969153881073,113.0,116.0,0.5460975170135498,68.0,123.0,0.5810680389404297,141.0,164.0,0.6193657517433167,54.0,161.0,0.6284884214401245,141.0,197.0,0.7065211534500122,64.0,223.0,0.6502017974853516,152.0,35.0,0.4767642915248871,151.0,30.0,0.2826918065547943,147.0,31.0,0.5894807577133179,113.0,33.0,0.6130694150924683,144.0,32.0,0.6655412912368774,80.0,58.0,0.5741249918937683,167.0,65.0,0.6611353158950806,47.0,94.0,0.5952296853065491,163.0,115.0,0.4320927560329437,19.0,130.0,0.6212579607963562,171.0,138.0,0.24165232479572296,91.0,128.0,0.456080824136734,127.0,133.0,0.4029589593410492,169.0,147.0,0.4628102481365204,154.0,192.0,0.634087085723877,154.0,201.0,0.4953596293926239,80.0,215.0,0.6356670260429382
