frame,abb_xmin,abb_ymin,abb_xmax,abb_ymax,bbb_xmin,bbb_ymin,bbb_xmax,bbb_ymax,a_nose_x,a_nose_y,a_nose_confidence,a_left_eye_x,a_left_eye_y,a_left_eye_confidence,a_right_eye_x,a_right_eye_y,a_right_eye_confidence,a_left_ear_x,a_left_ear_y,a_left_ear_confidence,a_right_ear_x,a_right_ear_y,a_right_ear_confidence,a_left_shoulder_x,a_left_shoulder_y,a_left_shoulder_confidence,a_right_shoulder_x,a_right_shoulder_y,a_right_shoulder_confidence,a_left_elbow_x,a_left_elbow_y,a_left_elbow_confidence,a_right_elbow_x,a_right_elbow_y,a_right_elbow_confidence,a_left_wrist_x,a_left_wrist_y,a_left_wrist_confidence,a_right_wrist_x,a_right_wrist_y,a_right_wrist_confidence,a_left_hip_x,a_left_hip_y,a_left_hip_confidence,a_right_hip_x,a_right_hip_y,a_right_hip_confidence,a_left_knee_x,a_left_knee_y,a_left_knee_confidence,a_right_knee_x,a_right_knee_y,a_right_knee_confidence,a_left_ankle_x,a_left_ankle_y,a_left_ankle_confidence,a_right_ankle_x,a_right_ankle_y,a_right_ankle_confidence,b_nose_x,b_nose_y,b_nose_confidence,b_left_eye_x,b_left_eye_y,b_left_eye_confidence,b_right_eye_x,b_right_eye_y,b_right_eye_confidence,b_left_ear_x,b_left_ear_y,b_left_ear_confidence,b_right_ear_x,b_right_ear_y,b_right_ear_confidence,b_left_shoulder_x,b_left_shoulder_y,b_left_shoulder_confidence,b_right_shoulder_x,b_right_shoulder_y,b_right_shoulder_confidence,b_left_elbow_x,b_left_elbow_y,b_left_elbow_confidence,b_right_elbow_x,b_right_elbow_y,b_right_elbow_confidence,b_left_wrist_x,b_left_wrist_y,b_left_wrist_confidence,b_right_wrist_x,b_right_wrist_y,b_right_wrist_confidence,b_left_hip_x,b_left_hip_y,b_left_hip_confidence,b_right_hip_x,b_right_hip_y,b_right_hip_confidence,b_left_knee_x,b_left_knee_y,b_left_knee_confidence,b_right_knee_x,b_right_knee_y,b_right_knee_confidence,b_left_ankle_x,b_left_ankle_y,b_left_ankle_confidence,b_right_ankle_x,b_right_ankle_y,b_right_ankle_confidence
0,609,309,659,395,346,357,548,582,72.0,30.0,0.7284461259841919,83.0,22.0,0.7863449454307556,64.0,22.0,0.814388632774353,101.0,26.0,0.7409971356391907,57.0,27.0,0.64287269115448,131.0,57.0,0.5598399639129639,44.0,60.0,0.5602810978889465,169.0,80.0,0.47204315662384033,25.0,87.0,0.37317633628845215,158.0,91.0,0.4232032299041748,19.0,112.0,0.39835283160209656,126.0,132.0,0.3385414779186249,73.0,136.0,0.369694322347641,141.0,172.0,0.5248242616653442,72.0,169.0,0.49295467138290405,152.0,211.0,0.5497076511383057,91.0,220.0,0.5755229592323303,63.0,67.0,0.6460720896720886,59.0,64.0,0.4433920979499817,59.0,66.0,0.6751062870025635,43.0,83.0,0.5663670301437378,60.0,71.0,0.7771123647689819,57.0,98.0,0.5117337107658386,80.0,72.0,0.6788755655288696,52.0,80.0,0.14139676094055176,71.0,49.0,0.8133020401000977,56.0,22.0,0.18788351118564606,59.0,25.0,0.8566843271255493,83.0,145.0,0.5966015458106995,109.0,141.0,0.5530224442481995,59.0,193.0,0.6913381814956665,154.0,164.0,0.7220134735107422,28.0,231.0,0.6716592907905579,172.0,200.0,0.7838292717933655
1,607,310,658,395,331,369,546,589,74.0,26.0,0.7543257474899292,85.0,18.0,0.7914273142814636,66.0,18.0,0.8331287503242493,104.0,22.0,0.7765538096427917,57.0,23.0,0.6669096946716309,131.0,53.0,0.5769813060760498,49.0,56.0,0.5613670349121094,169.0,76.0,0.534229576587677,27.0,79.0,0.4948881268501282,166.0,95.0,0.47122061252593994,22.0,108.0,0.49444010853767395,130.0,128.0,0.33117830753326416,73.0,130.0,0.3627220392227173,142.0,167.0,0.5455417633056641,67.0,165.0,0.5425847768783569,156.0,216.0,0.6111969947814941,91.0,220.0,0.5604602098464966,71.0,60.0,0.3825756311416626,45.0,76.0,0.33120784163475037,60.0,60.0,0.38863012194633484,46.0,76.0,0.7068053483963013,64.0,65.0,0.7493903040885925,53.0,94.0,0.5929911732673645,82.0,66.0,0.7197438478469849,60.0,112.0,0.17502626776695251,75.0,45.0,0.7592655420303345,81.0,115.0,0.09333068877458572,63.0,25.0,0.8176531791687012,80.0,145.0,0.6351193785667419,105.0,137.0,0.5848583579063416,57.0,193.0,0.703019917011261,152.0,153.0,0.7685570120811462,29.0,229.0,0.7187094688415527,173.0,187.0,0.7955228686332703
2,607,310,661,394,325,391,537,597,66.0,27.0,0.7652830481529236,75.0,18.0,0.7909542322158813,59.0,19.0,0.8338366150856018,94.0,24.0,0.7617435455322266,51.0,25.0,0.7092419266700745,122.0,54.0,0.5686630010604858,41.0,58.0,0.5671047568321228,155.0,76.0,0.4874679446220398,21.0,83.0,0.4539698362350464,158.0,99.0,0.45362645387649536,16.0,106.0,0.4889286756515503,122.0,124.0,0.3887919485569,68.0,128.0,0.4026234447956085,133.0,169.0,0.5759661793708801,54.0,166.0,0.6025459170341492,151.0,221.0,0.6227967143058777,79.0,220.0,0.5780016183853149,73.0,44.0,0.2358883023262024,44.0,60.0,0.33583396673202515,59.0,40.0,0.2609746754169464,47.0,60.0,0.6985359787940979,64.0,48.0,0.7247726321220398,51.0,78.0,0.5770835876464844,83.0,56.0,0.6782538890838623,68.0,96.0,0.19695992767810822,79.0,32.0,0.7201600074768066,71.0,86.0,0.08690308034420013,67.0,15.0,0.7280236482620239,79.0,136.0,0.6155151128768921,104.0,127.0,0.5677054524421692,55.0,187.0,0.7166208624839783,151.0,138.0,0.7621515393257141,27.0,229.0,0.7487795352935791,177.0,171.0,0.7958335280418396
3,606,311,661,395,324,416,527,608,61.0,27.0,0.760263979434967,67.0,18.0,0.7857574224472046,54.0,19.0,0.8367794156074524,90.0,22.0,0.763768196105957,48.0,25.0,0.6353805661201477,118.0,54.0,0.5656683444976807,43.0,57.0,0.5911188721656799,154.0,78.0,0.5292026400566101,23.0,80.0,0.47363919019699097,156.0,102.0,0.4307936131954193,14.0,106.0,0.48635387420654297,121.0,121.0,0.4106013774871826,68.0,124.0,0.440772145986557,132.0,171.0,0.5656166672706604,48.0,169.0,0.6420484185218811,161.0,221.0,0.6208209991455078,71.0,217.0,0.5830661058425903,65.0,0.0,0.36141324043273926,41.0,40.0,0.412531316280365,71.0,27.0,0.3647090196609497,42.0,39.0,0.7164987325668335,65.0,29.0,0.7075230479240417,49.0,66.0,0.5370690226554871,85.0,40.0,0.7120891213417053,54.0,86.0,0.3689071536064148,80.0,20.0,0.5665523409843445,72.0,78.0,0.11804855614900589,69.0,5.0,0.659284234046936,72.0,126.0,0.5885922312736511,101.0,117.0,0.5159834623336792,49.0,182.0,0.7383638620376587,147.0,116.0,0.7935692667961121,25.0,229.0,0.7338500022888184,179.0,151.0,0.81663978099823
4,606,312,662,397,323,430,518,611,53.0,27.0,0.7706810235977173,61.0,19.0,0.8049445748329163,48.0,20.0,0.8704398274421692,82.0,24.0,0.7717626094818115,44.0,27.0,0.6287922263145447,108.0,52.0,0.5686094164848328,37.0,57.0,0.6077347993850708,147.0,76.0,0.614476203918457,21.0,79.0,0.44182756543159485,146.0,97.0,0.4433894455432892,11.0,103.0,0.44675296545028687,114.0,120.0,0.42706263065338135,64.0,122.0,0.44780468940734863,134.0,172.0,0.5339644551277161,35.0,165.0,0.6869183778762817,168.0,223.0,0.5847663879394531,57.0,213.0,0.590196967124939,69.0,19.0,0.323403924703598,71.0,16.0,0.27441906929016113,65.0,17.0,0.5266833901405334,40.0,31.0,0.6145126223564148,64.0,23.0,0.7107779383659363,44.0,62.0,0.5877918601036072,84.0,38.0,0.7002584338188171,38.0,84.0,0.6546342968940735,92.0,38.0,0.3097716271877289,58.0,76.0,0.18265117704868317,72.0,12.0,0.49799004197120667,66.0,124.0,0.5552511811256409,98.0,114.0,0.46631211042404175,44.0,184.0,0.7569268345832825,143.0,112.0,0.7855284214019775,25.0,236.0,0.728599488735199,176.0,147.0,0.7779839634895325
5,603,314,664,397,322,440,506,614,54.0,30.0,0.7408021092414856,61.0,21.0,0.7962186336517334,48.0,22.0,0.8333135843276978,80.0,25.0,0.7616639137268066,43.0,29.0,0.63275146484375,103.0,53.0,0.582349419593811,40.0,60.0,0.6538709402084351,140.0,80.0,0.5974461436271667,25.0,85.0,0.39278408885002136,136.0,98.0,0.41301852464675903,17.0,97.0,0.26028314232826233,112.0,122.0,0.43286508321762085,67.0,125.0,0.4699398875236511,136.0,177.0,0.5486947894096375,31.0,165.0,0.6792640686035156,170.0,224.0,0.5076865553855896,44.0,217.0,0.5821393132209778,37.0,28.0,0.2768539488315582,35.0,28.0,0.43574434518814087,67.0,23.0,0.3118937611579895,38.0,28.0,0.6566738486289978,62.0,20.0,0.7403716444969177,40.0,58.0,0.5894833207130432,85.0,39.0,0.707270085811615,34.0,90.0,0.5849093198776245,96.0,46.0,0.30546408891677856,50.0,79.0,0.20159941911697388,72.0,28.0,0.20368759334087372,62.0,126.0,0.5128443241119385,98.0,117.0,0.4390791952610016,38.0,178.0,0.772802472114563,141.0,112.0,0.7734538316726685,24.0,232.0,0.7442185878753662,176.0,152.0,0.7814963459968567
6,597,316,665,398,322,445,491,613,59.0,33.0,0.7716960310935974,65.0,24.0,0.818199098110199,54.0,25.0,0.859050452709198,84.0,29.0,0.7802174091339111,49.0,31.0,0.6274858713150024,107.0,58.0,0.5578703284263611,48.0,64.0,0.6601281762123108,133.0,77.0,0.39242175221443176,43.0,78.0,0.20852944254875183,126.0,97.0,0.2589869797229767,47.0,101.0,0.09769294410943985,118.0,128.0,0.45256057381629944,75.0,129.0,0.4645015001296997,142.0,181.0,0.5788748264312744,37.0,165.0,0.6812896132469177,177.0,225.0,0.5188171863555908,40.0,219.0,0.6114502549171448,65.0,19.0,0.1476973444223404,32.0,28.0,0.3097414970397949,63.0,18.0,0.35032597184181213,36.0,28.0,0.692243218421936,63.0,21.0,0.8227572441101074,35.0,58.0,0.6189502477645874,91.0,43.0,0.7844470739364624,34.0,102.0,0.7643411159515381,94.0,72.0,0.3826026916503906,46.0,83.0,0.19132740795612335,66.0,74.0,0.15676090121269226,64.0,126.0,0.48796141147613525,104.0,113.0,0.4723713994026184,35.0,179.0,0.7956671714782715,146.0,125.0,0.756464958190918,27.0,233.0,0.7152561545372009,176.0,168.0,0.757740318775177
7,592,318,666,399,322,447,475,613,61.0,33.0,0.7991144061088562,67.0,25.0,0.8201791644096375,57.0,26.0,0.8667195439338684,84.0,29.0,0.8131582736968994,52.0,31.0,0.6144246459007263,103.0,57.0,0.602177619934082,52.0,62.0,0.7273859977722168,129.0,84.0,0.39037004113197327,44.0,88.0,0.4120314419269562,116.0,92.0,0.40260791778564453,15.0,95.0,0.34751462936401367,119.0,129.0,0.4831455647945404,83.0,129.0,0.50858074426651,144.0,184.0,0.5282951593399048,42.0,167.0,0.7094666361808777,175.0,225.0,0.4143785536289215,36.0,223.0,0.6044257283210754,67.0,23.0,0.30144432187080383,28.0,28.0,0.2929009199142456,63.0,18.0,0.364666223526001,32.0,30.0,0.6825497150421143,62.0,24.0,0.8091317415237427,32.0,62.0,0.6498031616210938,91.0,43.0,0.7854894399642944,35.0,103.0,0.7528059482574463,117.0,71.0,0.7574117183685303,32.0,123.0,0.7878530025482178,94.0,78.0,0.21292200684547424,68.0,126.0,0.49130839109420776,112.0,117.0,0.4970805048942566,35.0,177.0,0.8006331324577332,151.0,141.0,0.721105694770813,28.0,232.0,0.7515925168991089,175.0,190.0,0.7199711203575134
8,589,320,666,400,322,449,471,613,61.0,29.0,0.8072293996810913,66.0,21.0,0.8300550580024719,56.0,20.0,0.8808904886245728,82.0,26.0,0.8161191344261169,51.0,27.0,0.6175673604011536,97.0,53.0,0.6153075695037842,50.0,59.0,0.7350993752479553,119.0,80.0,0.38275033235549927,43.0,84.0,0.3599553406238556,108.0,89.0,0.43783822655677795,6.0,88.0,0.2541295886039734,115.0,128.0,0.49737340211868286,83.0,128.0,0.523763120174408,141.0,181.0,0.5872110724449158,44.0,167.0,0.7000938653945923,177.0,221.0,0.47711214423179626,39.0,223.0,0.6441755890846252,24.0,32.0,0.2209022343158722,25.0,29.0,0.3141705393791199,59.0,18.0,0.26555901765823364,28.0,30.0,0.67359858751297,58.0,24.0,0.7749135494232178,28.0,64.0,0.6468015909194946,90.0,46.0,0.7571467757225037,35.0,103.0,0.7464752197265625,120.0,82.0,0.8096038103103638,28.0,131.0,0.7646054625511169,104.0,98.0,0.24718675017356873,66.0,124.0,0.4743417203426361,113.0,117.0,0.5009454488754272,34.0,176.0,0.7891036868095398,143.0,151.0,0.7039550542831421,30.0,232.0,0.7339701652526855,167.0,202.0,0.7227742671966553
9,588,319,664,400,322,450,472,613,57.0,30.0,0.8204750418663025,63.0,23.0,0.8314047455787659,51.0,22.0,0.884945809841156,78.0,28.0,0.8169203400611877,48.0,29.0,0.6152865290641785,96.0,60.0,0.6678562760353088,44.0,62.0,0.7600735425949097,118.0,84.0,0.39772775769233704,37.0,87.0,0.33269521594047546,106.0,91.0,0.4454025626182556,38.0,91.0,0.16989566385746002,110.0,130.0,0.4896993041038513,76.0,131.0,0.5195708870887756,139.0,182.0,0.5833806395530701,36.0,171.0,0.7299894094467163,178.0,217.0,0.5237941741943359,40.0,224.0,0.6368685960769653,24.0,32.0,0.23540428280830383,22.0,28.0,0.36386463046073914,59.0,18.0,0.18351826071739197,26.0,30.0,0.6747761964797974,58.0,24.0,0.7822403311729431,28.0,62.0,0.6476278305053711,89.0,48.0,0.7118955850601196,35.0,104.0,0.6881395578384399,123.0,89.0,0.7814666032791138,27.0,133.0,0.7238159775733948,108.0,106.0,0.25310081243515015,66.0,130.0,0.4560285806655884,113.0,119.0,0.49347394704818726,32.0,176.0,0.7864263653755188,137.0,149.0,0.6095115542411804,30.0,231.0,0.7476723194122314,171.0,194.0,0.7137242555618286
